이수구분,교과명,분반,학점,담당교수,강의시간
교선,남북한의법,02,2,천영성,화13:30-15:30
교선,미래사회와청소년교육,01,2,유순덕,화15:30-17:30
교선,미디어로읽는심리학,01,2,유순덕,화11:30-13:30
교선,미디어로읽는심리학,02,2,유순덕,화13:30-15:30
교선,인문학포천의,01,2,정연희,목15:30-17:30
교선,국가안보론(안보전략),01,2,한명길,화09:30-11:30
교선,생활과전기,01,2,김종호,목11:30-13:30
교선,생활과전기,02,2,김종호,목13:30-15:30
교선,우주와물질,01,2,신홍기,목13:30-15:30
교선,우주와물질,02,2,신홍기,목15:30-17:30
교선,생활속의신소재,01,2,나현석,월13:30-15:30
교선,생활속의신소재,02,2,나현석,월15:30-17:30
교선,물리학및실험I,01,3,신홍기,"월13:30-17:30,월11:30-13:30,수15:30-17:30"
교선,물리학및실험I,02,3,신홍기,수13:30-17:30
교선,물리학및실험I,03,3,신홍기,화13:30-17:30
교선,물리학및실험I,01,3,신홍기,"월11:30-13:30,수15:30-17:30"
교선,일반화학및실험I,02,3,박성호,"화13:30-15:30,목13:30-15:30"
교선,일반화학및실험I,03,3,한만소,"월09:30-11:30,목15:30-17:30"
교선,일반화학및실험I,04,3,한만소,"수11:30-13:30,금11:30-13:30,월13:30-15:30"
교선,일반화학및실험I,05,3,박성호,월13:30-15:30
교선,생명과학및실험I,01,3,곽애경,"수09:30-11:30,금09:30-11:30,수11:30-13:00,금11:30-13:00"
교선,생명과학및실험I,02,3,곽애경,"수13:30-15:30,금13:30-15:30"
교선,생명과학및실험I,03,3,곽애경,"수11:30-13:30,목11:30-13:30"
교선,생명과학및실험I,01,3,김봉진,"수11:30-13:00,금11:30-13:00,수09:30-11:30,금09:30-11:30"
교선,기초미적분학,02,3,김원배,"화13:30-15:00,목10:00-11:30"
교선,기초미적분학,03,3,김원배,"화10:00-11:30,목13:30-15:00"
교선,기초미적분학,04,3,김봉진,"수13:30-15:00,목13:30-15:00"
교선,기초미적분학,05,3,김원배,"화11:30-13:00,수11:30-13:00"
교선,기초미적분학,06,3,이정례,"월14:30-15:30,금13:30-15:30"
교선,기초미적분학,07,3,이정례,월15:30-16:30
교선,기초미적분학,08,3,이정례,"월16:30-17:30,금11:30-13:30"
교선,응용미적분학,01,3,김원배,금10:00-13:00
교선,과학기술과지식재산,01,2,이재경,월11:30-13:30
교선,과학기술과지식재산,02,2,이재경,화11:30-13:30
교선,과학기술과직업윤리,01,2,이재경,수09:30-11:30
교선,알기쉬운저작권,01,1,김현동,화09:30-11:30
교선,음식과식품재료,01,2,최진희,금09:30-11:30
교선,R과기초데이터분석,01,2,김원배,수13:30-15:30
교선,기초통계학,01,2,김원배,"수09:30-11:30,월10:00-11:30"
교선,공업수학I,01,3,이정재,목10:00-11:30
교선,공업수학I,02,3,김남준,"월10:00-11:30,금10:00-11:30"
교선,수학의세계,01,2,이정례,월09:30-11:30
교선,생활속의화학,01,2,박성호,화15:30-17:30
교선,생태계와환경,01,2,곽애경,수13:30-15:30
교선,현대인의삶과건축,01,2,전병권,화15:30-17:30
교선,유전자와생명의비밀,01,2,장종수,화13:30-15:30
교선,사물인터넷이해,01,3,김도현,
교선,임상여성학,01,3,선우재근,
교선,인물로배워보는과학,01,2,나현석,목18:25-19:15
교선,인간과건축,01,2,석진영,수09:30-11:30
교선,논리로배우는인공지능,01,2,곽태근,수13:30-15:30
교선,영화의이해,01,2,최수지,수09:30-11:30
교선,영화의이해,02,2,최수지,수11:30-13:30
교선,연극의이해,01,2,황연희,월13:30-15:30
교선,연극의이해,02,2,장경순,월15:30-17:30
교선,문화의수용과창조,01,2,김덕삼,화21:20-22:10
교선,미술의이해,01,2,오세권,화13:30-15:30
교선,결혼과가족,01,3,김영희,
교선,음악치료,01,2,이진이,화09:30-11:30
교선,음악치료,02,2,이진이,수11:30-13:30
교선,배드민턴,01,2,으 지,화13:30-15:30
교선,배드민턴,02,2,으 지,목09:30-11:30
교선,일본문화의이해,01,2,박선옥,목09:30-11:30
교선,미술이해표현의,01,2,오세권,금11:30-13:30
교선,미술사개론,01,2,황귀영,수11:30-13:30
교선,한국문화읽기,01,2,김지원,화11:30-13:30
교선,한국문화읽기,02,2,김지원,화13:30-15:30
교선,인간과디자인,01,2,윤여경,목11:30-13:30
교선,동양고대문화의이해,01,2,김형기,"목13:30-15:30,월09:30-11:30"
교선,동양고대문화의이해,01,2,김형기,"월09:30-11:30,목13:30-15:30"
교선,동양문화사의이해,02,2,기 더 사,월11:30-13:30
교선,동양문화사의이해,03,2,김용전,수15:30-17:30
교선,과식량의문화사음식,01,2,정동준,목13:30-15:30
교선,영화감상과비평,01,2,성지영,수13:30-15:30
교선,공연예술로의초대,01,2,김명정,목13:30-15:30
교선,종교와예술,01,2,조용기,화11:30-13:30
교선,종교와예술,02,2,조용기,목11:30-13:30
