페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
121,데이터경영산업공학과,2,전필,612076,작업분석및설계,,3,,,,목10:00-11:30,공나A 210 - 강의실(공용),
121,데이터경영산업공학과,3,전선,612102,정보컴퓨터교과교육론,,3,,,,,공나A 211 -품질공학실험실,
121,데이터경영산업공학과,3,전필 전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,612603,기업데이터베이스 정보컴퓨터교과교재연구 및지도법 캡스톤디자인(생산시스템) 기업정보시스템,01,3 3 3 3,,,오용희,화10:00-11:30 목10:00-11:30,공나A 212 - 빅데이터분석실 공나A 211 -품질공학실험실 공나A 210 - 강의실(공용) 공나A 212 - 빅데이터분석실,선수과목 이수자 수강가능
122,반도체융합공학과,1 2,※ )음영처리 )교과목은 )마이크로전공 )교과목임,682601,***반도체융합공학입문 반도체기초과학 디지털논리시스템 전기자기학 고체전자재료 회로이론및해석1 기초반도체공학실험Ⅰ AI응용프로그래밍실습,""" ! #$",3 3 3 3 3 3 3 3,,,백경갑,목10:00-11:30 목12:30-13:30 목11:30-13:00 금11:30-13:00 수13:30-1 :00 목10:00-11:30,공다A 311 - 강의실 공다B 09 - 강의실(공용) 공다A 311 - 강의실 공다A 310 - 강의실(공용) 공다A 311 - 강의실 공다A 310 - 강의실(공용) 공다A 211 - EmbeddedMCU실험실 정보 09 정보실습실F/정보 207 정보실습실A,1학년만수강가능 /변경1일차11시 1학년만수강가능 /변경1일차11시 전체수강 전자과만수강가 능/수강3일차11 전자과만수강가 능/수강3일차11 전체수강 시전체수강 시전체수강
124,신소재공학과,2 3,,582010,전자재료공학 표면화학 물리금속 결정구조분석 기초물리화학 재료강도학 세라믹공학실험,,3 3 3 3 3 3 3,,,나현석 나현석,화1 :30-17:00 금13:30-1 :00 목10:00-11:30,공다A 13 - 강의실(공용) 공다B 09 - 강의실(공용) 공다B 09 - 강의실(공용) 공다B 09 - 강의실(공용) 공다B 09 - 강의실(공용) 공다A 13 - 강의실(공용) 공다B 09 - 강의실(공용)/공다B 13,
124,신소재공학과,2 3,,582091,재료특성분석 금속재료,,3,,,,,공다A 13 - 강의실(공용) 공다A 13 -,
124,신소재공학과,2 3,전선,582019,전자재료공학실험 캡스톤디자인(신소재Ⅱ),,3 3 3,,,주성후 주성후,,강의실(공용) - 세라믹재료실험실 공다A 13 - 강의실(공용)/공다A 16 공다A 13 - 강의실(공용) - 전자재료실험실,
125,IT기계공학과,1,,571010,기계제도및CAD ***IT기계공학입문,01 02,3 3 3,,,권혁홍,화13:30-17:30 목13:30-17:30 목10:00-11:30,정보 207 정보실습실A 공다B 108 - 강의실,첫째날 공학자율학부만/
125,IT기계공학과,1,,571001,기계창의공학설계입문 고체역학I,""" ! #$",3 3,,,,목11:30-13:00,공다A 108 - e-강의실(공용) 공다B 108 - 강의실,둘째날 11시 전체
125,IT기계공학과,1,,572027,기계공작법,,3,,,,금13:30-1 :00,공다 A107 - 강의실(공용),
125,IT기계공학과,2,,572029,열역학 공학수학I 3DCAD실습II 창의기계와지식재산,01 02,3 3 3 3,,,구본승,금11:30-13:00 금10:00-11:30 화09:30-13:30 수13:30-17:30,공다A 108 - e-강의실(공용) 공다B 108 - 강의실 공다 A110 - CAE실 정보 207 정보실습실A,첫째날 IT기계 2학년만/둘째날 첫째날 IT기계 11시 전체 2학년만/둘째날
